rank;name;gameId;elo;country;countryCode;
347;Wouter Ouwehand;93592155;1615;Netherlands;nl;
348;Wiroon Juesathainrat;63265999;1615;Thailand;th;
349;Thibaut Clausse;31991724;1614;Belgium;be;
350;Carlos Carrero;91626642;1613;Spain;es;
351;Paul Fortin;72983687;1613;United States of America;us;
352;Junio Antono;89476695;1613;Indonesia;id;
353;Jack Stoney;67534537;1613;United States of America;us;
354;Philip Torres;35519926;1612;United States of America;us;
355;Joseph Schilling;48266179;1612;United States of America;us;
356;Henry Martinez;82148776;1612;United States of America;us;
357;Jacob Kissel;58998317;1611;United States of America;us;
358;William Lugar;96315152;1610;United States of America;us;
359;Andrew Rudin;94347661;1610;United States of America;us;
360;Jan Starek;47568798;1610;Poland;pl;
361;Adrian Gebhart;61364416;1610;United States of America;us;
362;Jose vicente Rodriguez  Palazon;32585799;1610;Spain;es;
363;Michael Riddle;19286246;1609;United States of America;us;
364;Thomas Briggs;59366321;1609;United States of America;us;
365;Lucas Bannigan;94752852;1609;United States of America;us;
366;Jason Watkins;43284559;1609;United States of America;us;
367;KeDuo Yang;93532547;1609;Taiwan;tw;
368;Peter Loderup;86129686;1608;United States of America;us;
369;C WK;21417213;1608;Hong Kong;hk;
370;Tyler Brotton;84711111;1608;United States of America;us;
371;Kugane Gaming;36499436;1607;Belgium;be;
372;Bryce Henschel;82884659;1607;United States of America;us;
373;Dylan Thompson;73151816;1607;Ireland;ie;
374;Ben Hannan;43699172;1607;United States of America;us;
375;Jie ma;54524731;1607;United States of America;us;
376;Abbey Fong;31148362;1607;Singapore;sg;
377;John Zapata;73241415;1607;United States of America;us;
378;Nicholas Murphy;97275794;1607;United States of America;us;
379;Jose Alves;98159664;1606;Portugal;pt;
380;Raymond Chow;41425185;1606;Canada;ca;
381;Porter Jones;95935514;1606;United States of America;us;
382;Casey Dugan;11669916;1606;United States of America;us;
383;(IG) Clement Ling;56383126;1606;Malaysia;my;
384;Travis McDaniel;12467529;1606;United States of America;us;
385;Oliver Phi;75633349;1606;United States of America;us;
386;Brandon Webb;34448381;1606;United States of America;us;
387;Victor 🇵🇭 Mercado;24797713;1606;Canada;ca;
388;Mortal Absolute;76776388;1606;Hong Kong;hk;
389;Richard Carr;87215112;1605;United Kingdom;gb;
390;Craig Krempels;95424553;1605;United States of America;us;
391;Anthony Junta;38826842;1605;United States of America;us;
392;Andreas Ventzel;89661754;1605;Denmark;dk;
393;Karl-Emil Drenck;44363715;1605;Denmark;dk;
394;Nicolas CAMPIGLIA;83931719;1605;France;fr;
395;Javier Endika García Campo;88145616;1605;Spain;es;
396;Aaron Shantz;86611621;1604;Canada;ca;
397;Kiki Labad;6499;1604;New Zealand;nz;
398;Vincent Lim;18269158;1604;Australia;au;
399;Carson Osborne;51679477;1604;United States of America;us;
400;Zac Lau;16597857;1604;Singapore;sg;
401;Grzegorz Pijas;18736993;1604;Poland;pl;
402;Niklas Astner;75745291;1603;Sweden;se;
403;GAO ZHI-PENG;45482661;1603;Taiwan;tw;
404;Leon Chow;45233239;1602;Canada;ca;
405;Bernard Hsia;29446787;1602;United States of America;us;
406;Quang Duong;16123361;1602;Vietnam;vn;
407;Andy Pham;88759741;1602;Australia;au;
408;Alex Slotnick;11737789;1602;United States of America;us;
409;Sasha Bachhausen;15219657;1602;Germany;de;
410;Adrián Marín;84473835;1602;Spain;es;
411;Tim Sofsky;91781482;1602;Germany;de;
412;Saiful Bahari Hassan (IG);22586678;1602;Malaysia;my;
413;Jeremy Langevin;58744722;1602;United States of America;us;
414;HO CHI-YUN;63699142;1602;Taiwan;tw;
415;Sebastian Piełudź;69292914;1602;Poland;pl;
416;Sean Yang;72345214;1601;United States of America;us;
417;Mark Henderson;32917365;1600;Netherlands;nl;
418;Victor Brøcker;46791926;1600;Denmark;dk;
419;Sébastien Spilliaert;42538933;1599;Belgium;be;
420;Frank Karamaroudis;57922146;1599;Australia;au;
421;Aidan Wall;47987985;1599;Netherlands;nl;
422;Vincent Yuen;25549911;1599;Hong Kong;hk;
423;Ethan Sih;11257315;1598;New Zealand;nz;
424;Joshua Kehe;36632797;1598;United States of America;us;
425;Albert Schütt;58265332;1598;Sweden;se;
426;Steven Rodriguez;41471781;1598;United States of America;us;
427;Joel Gibbons;79771863;1598;Australia;au;
428;Kevin Brayer;61784579;1598;United States of America;us;
429;Alex Tyler;94632227;1598;United States of America;us;
430;Rene Farwer;89181998;1598;Germany;de;
431;Matthew Clark;76882269;1598;Australia;au;
432;Jesus Garcia Gomez-Valades;82753695;1597;Spain;es;
433;Christopher Dietz;61428539;1597;United States of America;us;
434;(IG) Derk Hua;63655336;1597;Malaysia;my;
435;Dyllon Dietz;28412627;1597;United States of America;us;
436;Mikael Conrow;97232914;1597;United States of America;us;
437;Damiano De Prosperis;87871378;1597;Italy;it;
438;Emmanuel Onate;42931316;1597;United States of America;us;
439;Andrew Trebing;82186683;1597;United States of America;us;
440;Isaac Murray;85528141;1596;United Kingdom;gb;
441;Jas Tin Lim;46675886;1596;United Kingdom;gb;
442;Tsubasa Ueda;78871739;1596;Canada;ca;
443;Konstantinos Paltoglou;89176364;1596;Greece;gr;
444;Evelio Valdespino;76527367;1595;United States of America;us;
445;Zach Johnson;76684776;1595;New Zealand;nz;
446;Mariusz Suchanecki;91568774;1595;Poland;pl;
447;Nathan Zamora;16341522;1595;United States of America;us;
448;Alberto Hilario;15788832;1595;Spain;es;
449;Nuno Miguel Correia das Neves;35425257;1595;Portugal;pt;
450;Chenjun Liu;25423775;1594;United States of America;us;
451;Alexander Hempelmann;94399835;1594;Germany;de;
452;Noah Rolf;24721387;1594;United States of America;us;
453;Henrik Montin;17167886;1594;Sweden;se;
454;William Craddock;84732854;1593;United States of America;us;
455;Xi Shern (IG) Tan;92811715;1593;Malaysia;my;
456;Oscar Ojeda Gomez;62693329;1593;Canada;ca;
457;Sarah Bisplinghoff;28679713;1593;United States of America;us;
458;Ravi Sharma;64912987;1593;United States of America;us;
459;Renzo Schietgat;66211955;1593;Belgium;be;
460;Hayden Reed;35955322;1593;United States of America;us;
461;Tyler Biggs;35979638;1593;United States of America;us;
462;Wim Eliano;84771494;1593;Belgium;be;
463;Kevin Langland;62614824;1592;United States of America;us;
464;Wyatt McHalffey;26983751;1592;United States of America;us;
465;Gary Weigman;33541462;1592;United States of America;us;
466;Sam Sutherland;83313384;1592;Australia;au;
467;christian gilbert;58253792;1592;United States of America;us;
468;Alan Hoang;88345176;1592;United States of America;us;
469;James Kandziolka;89223257;1591;United States of America;us;
470;Jeremy Miller;62225645;1591;Germany;de;
471;Luke Magnuson;45473733;1591;United States of America;us;
472;Alessandro Tassini;75224857;1591;Italy;it;
473;David Dyson;12842217;1591;United Kingdom;gb;
474;Jonathan Luey;8192;1591;Australia;au;
475;Alex Lo;61279329;1591;Hong Kong;hk;
476;Andy Modell;83358935;1591;United States of America;us;
477;Nikos Tavoulareas;36856799;1590;Greece;gr;
478;Sander Neeft;41632944;1590;Netherlands;nl;
479;Mercy Bickell;88868484;1590;United States of America;us;
480;Nitan Avivi-Stuhl;63464116;1590;United States of America;us;
481;Tom Penny;8529;1590;New Zealand;nz;
482;Aleksi Sorjonen;83481277;1590;Finland;fi;
483;Bruno Patrão;79173212;1590;Portugal;pt;
484;Derek Chiu;79134122;1589;Canada;ca;
485;Xie Hang Yeo;97881881;1589;Singapore;sg;
486;Joris Verhelst;15957852;1589;Belgium;be;
487;Rommel Estalilla;58299914;1589;New Zealand;nz;
488;electra chan;72522254;1589;Hong Kong;hk;
489;Merrick Kemp;24595758;1589;United States of America;us;
490;Lukasz Bigos;84314118;1589;Poland;pl;
491;Thorbjørn Lind Jensen;18792287;1589;Denmark;dk;
492;Cooper Templeton;89541934;1589;United States of America;us;
493;Christopher Shreve;85277871;1589;United States of America;us;
494;Julian Felix Flury;69594131;1588;Switzerland;ch;
